0,1,2,3,4,5
5.627233,1.745748,1.3151867,-0.55955815,1.6870369,-0.20146865
8.480929,2.114435,-14.307008,-2.3432581,-14.441595,-0.62067294
4.6554694,-3.4130201,-3.8917797,0.6411928,-3.7799537,4.438943
6.1235,6.4067726,1.510981,8.077828,1.9698398,-4.4157033
4.443768,1.8380704,0.6908838,7.157524,1.006105,-0.24921224
4.6538563,-7.3360395,-0.9737234,1.3491557,-0.81583595,8.008694
6.440971,11.633697,-13.607407,-3.1823611,-13.532448,-9.232044
6.5462365,12.758463,4.826499,6.0278277,5.4743786,-10.194425
5.3559914,0.7623603,-9.420408,-2.3857808,-9.434687,0.6783227
7.231326,-1.1240996,-1.6166984,4.220282,-1.4406939,2.3636465
5.428965,3.5071692,6.412878,4.081041,6.95494,-1.7771924
4.5468016,2.5357182,3.6517162,7.2460303,4.137329,-0.8975142
6.7817163,4.179424,-3.139013,8.164381,-2.8584805,-2.4143336
5.71704,-6.0919256,7.315037,-1.4400511,7.759404,6.918172
4.057643,-5.4548926,-9.783431,11.079266,-9.858248,6.286918
3.65494,-6.154432,-6.851908,2.6480045,-6.8976507,6.9143357
4.552136,-4.6218143,-3.5558805,3.4733002,-3.4604673,5.575173
5.4701405,0.45294994,7.3935566,4.959289,7.943988,0.9775978
4.1081896,2.0117297,1.4845365,4.9247313,1.8158972,-0.437814
3.8233688,-0.34139764,-9.558149,7.2381487,-9.47258,1.6543993
5.924124,-13.829894,-2.6860209,4.9591384,-2.7196698,13.880448
5.2231874,3.603105,-11.387347,4.5477138,-11.346789,-1.8900317
7.3545284,6.9670935,1.0727552,3.3877432,1.5297692,-4.927241
6.642086,2.9647005,-7.154204,8.126527,-7.0258045,-1.3564129
6.121332,5.765648,3.226161,1.5906005,3.7128417,-3.8460214
5.7480164,1.8549854,-0.9099151,9.602072,-0.6008141,-0.3069539
6.364942,-12.4603405,-12.061724,2.6778805,-12.362897,12.626606
4.9647627,-5.2336736,-2.7892768,3.304563,-2.6493707,6.123546
3.85782,8.766201,-0.90980375,5.2235513,-0.45332503,-6.5620146
6.077346,2.0482411,2.106001,5.1929398,2.5019443,-0.47731328
4.4460697,-8.215851,-0.84046084,4.610995,-0.73193634,8.806557
7.2364364,5.7795725,2.99895,10.239955,3.5051315,-3.8667839
6.073182,-1.7394875,0.77410054,7.185749,1.0952929,2.940961
5.7742305,6.5268526,5.1859837,4.910698,5.7321286,-4.5526624
4.6381707,1.5588706,-4.5787497,-1.1555636,-4.4176273,-0.03465855
5.594822,8.050278,14.249187,1.7004533,15.147515,-5.871543
6.0594645,-3.7220454,-7.431133,3.976111,-7.3731594,4.728757
4.920409,-7.9275513,-3.988966,3.2402403,-3.9826846,8.551356
4.9990554,5.2374682,3.7882514,6.4680796,4.2637377,-3.3396697
4.8240037,1.4880109,-1.6340367,6.5141077,-1.3512554,0.03440875
4.0347404,-4.102296,-6.394569,3.4973009,-6.3590226,5.0826216
7.8491154,-5.115063,-6.755667,4.6618104,-6.735349,5.9778028
8.969162,-2.5633154,-4.0470095,6.8069468,-3.8696105,3.6244035
5.3133936,3.4072878,-8.038774,2.0600035,-7.887397,-1.7362242
4.2696137,-5.0408244,5.2522335,6.863694,5.5911956,5.936054
5.716757,-0.5115932,16.467209,7.694641,17.222908,1.8917261
7.4136066,12.017616,14.574718,1.7635719,15.555814,-9.477417
5.653165,6.2659955,-0.25203323,0.84366655,0.14901161,-4.3230195
3.0878358,-6.823849,5.8594513,5.545296,6.1948967,7.5709634
4.1210623,12.641563,-2.1311662,8.149424,-1.6254625,-10.063391
6.6254168,-5.8773146,2.4165754,1.0370795,2.7055259,6.6926312
3.382979,-10.9030695,-6.8663125,8.866102,-6.946536,11.197928
2.930449,3.2739265,-0.5927767,7.1969194,-0.2415008,-1.5571437
4.965535,14.9195385,1.5566138,4.208148,2.2227726,-12.124524
5.3830957,-0.72242904,3.8874319,2.2052374,4.2881856,2.0315182
3.0684152,2.3751285,-11.646311,7.5812497,-11.558698,-0.79324704
5.4404316,9.15277,0.72602177,0.9762004,1.1838793,-6.9191556
8.331116,8.472665,-2.1101675,3.605101,-1.7582505,-6.339693
6.850473,9.424754,-5.295269,6.8187265,-4.992392,-7.182356
4.609375,4.2877607,-7.246297,2.3421078,-7.0980883,-2.4970975
5.5216217,11.438356,1.70166,9.037609,2.2505562,-8.978534
5.9246774,-2.192528,6.8878603,-1.3114058,7.353876,3.3820965
5.1770415,-7.249041,-3.4468338,9.252838,-3.396246,7.885531
4.7458444,4.202212,-7.772303,7.7423944,-7.6031733,-2.4154706
6.3749857,-13.599256,-4.68105,3.6579177,-4.7714195,13.6643305
4.4103537,-2.3373332,-7.342051,7.9244986,-7.275439,3.4715889
4.629223,0.3203874,-0.39069742,1.0057987,-0.146698,1.0692176
2.3973477,-5.2640295,0.35150945,2.8377612,0.5554172,6.1478186
3.9512973,-1.317203,0.92924565,1.9397988,1.2434928,2.5774212
5.196802,1.4546111,7.424993,1.0387676,7.9272575,0.04840398
6.8297114,-3.3299236,14.863478,1.2575859,15.534518,4.4486995
8.132221,15.873658,-3.0119374,6.122456,-2.53483,-13.010441
5.6293125,1.1460006,-0.31397486,5.572199,-0.01808536,0.34260866
4.71241,-11.096698,-0.5809073,4.5986714,-0.48236024,11.416313
3.2557676,8.647214,-3.4615836,0.77855706,-3.130153,-6.4839673
4.77601,-2.0273862,-3.378866,4.528462,-3.209282,3.2157304
4.517288,-7.60848,-2.8933842,0.20092154,-2.8199062,8.273311
2.972987,3.452219,-3.6746507,3.629402,-3.3506117,-1.7495806
4.6858506,-11.68953,2.872503,7.370452,3.0300632,11.956437
6.5733223,8.237968,-4.9239902,6.747339,-4.55683,-6.0683503
5.410616,-11.2709875,-10.238365,4.0938115,-10.454504,11.535596
5.377201,-2.8025672,-6.0202603,2.4331834,-6.0068197,3.8751574
5.0469556,2.821383,-12.486551,4.638314,-12.463984,-1.2224206
5.088093,5.631928,2.0670633,9.061687,2.5308275,-3.712572
4.171162,-1.945207,1.6326927,0.762462,1.9204159,3.1388638
8.686245,-2.8280919,10.788696,-7.6747856,11.308481,3.9424882
6.203981,3.9837608,4.957074,4.1526985,5.537917,-2.2253885
3.7051275,-3.188756,6.5438123,1.6396084,7.0020056,4.289088
