0,1,2,3
0.5163903,0.58946526,1.8618842,-8.913295
5.0549383,0.2880874,-1.498387,-7.567713
8.588511,0.09696779,-4.668978,-6.1357474
10.159343,-0.012502026,-3.7191038,-6.838408
5.026982,0.29137495,0.44828507,-1.494424
3.53412,0.41187397,2.2636309,-5.3954167
2.1463573,0.50040567,-3.3444557,-3.5806048
1.1606398,0.56188786,-4.490342,-8.673624
1.8533719,0.5198091,1.8178741,-2.2518315
6.4822817,0.12251921,1.463868,-2.2158856
0.95441854,0.56580913,-4.082739,-7.529005
4.8806415,0.30027205,-1.1343746,-1.4548877
1.4384414,0.5443618,-2.6272357,-2.3494632
10.732619,-0.041898023,5.5941067,-8.508617
-0.6175322,0.63644946,-0.22797811,-8.763811
3.9138386,0.37527204,-4.928591,-8.000821
3.233804,0.4365167,4.7024903,-8.91695
2.8483484,0.45988017,-1.889277,-0.8078356
4.768759,0.31864718,0.43338764,-2.5157673
7.7482996,-0.21670033,-3.6420422,-10.28971
4.165788,0.3543174,-1.859407,-10.064581
10.8805485,-0.056517344,0.17269802,-3.2550511
5.178374,0.29028207,4.3128223,-7.06612
6.7028775,0.1935096,-1.8009927,-8.276096
0.68079615,0.5808945,0.19905244,-0.8948418
9.348659,5.443356,0.29828936,0.059413794
3.2628348,0.43380356,-1.5300753,-1.4683429
8.43006,0.10245417,-0.98701596,-6.934278
3.686652,0.4013478,-2.098272,-6.8400326
7.7276454,-0.237552,-5.895494,-8.222262
7.17567,-0.2282012,4.8283834,-7.6267233
5.012083,0.3004468,1.1957864,-4.0923343
7.4523473,-0.23910029,1.2676812,-1.1619455
1.586627,0.5354399,0.6948712,-7.1480875
-0.54643106,0.6321382,-0.15404215,-4.3008313
10.955464,-0.05882747,1.3049234,-6.59682
9.028087,0.84016037,-1.8240894,-11.228345
6.4257693,0.20854338,-2.2794466,-2.1225019
7.436842,-0.07040435,-3.434043,-10.466194
5.206367,0.28099006,2.6448543,-6.595838
3.633192,0.40002656,2.839645,-11.790445
4.1838193,0.36778724,-0.3505847,-13.080954
5.5706725,0.22824313,-2.2161362,-2.3442783
3.903791,0.3802883,-0.32230628,0.009928254
9.30766,5.240323,2.720067,-7.8584714
9.108205,0.06612384,4.375574,-6.715824
3.8811793,0.37577075,-1.6310557,-9.501471
4.618698,0.2856189,-0.8197986,-11.600199
4.453858,0.3392219,-0.08741953,0.587281
2.000244,0.5122257,-2.190344,-5.6415963
1.8032961,0.5231959,-1.0622106,-5.48647
