0,1,2,3
0.3162127,0.3550519,0.8845107,-0.17209923
0.2807023,0.3733744,-0.10549252,-0.04351987
0.29950595,0.38224843,-0.17285728,-0.04615839
0.14444572,0.40084177,0.25637645,-0.22233869
0.10703164,0.1896663,0.48665714,-0.04577308
0.250996,0.1461269,0.004247874,-0.15685849
0.26074794,0.37026393,-0.6459629,-0.2638259
0.23884296,0.15692723,0.02362233,-0.08056743
0.107567,0.25492477,0.0045030117,-0.15569104
0.13356778,0.2709151,-0.065822095,-0.23074684
0.41840965,0.48971784,0.34566507,-0.040134087
0.11939013,0.3114944,0.40438327,-0.13077103
0.26506543,0.17809421,0.49313617,-0.22096866
0.19874474,0.15132567,0.122716844,-0.20145255
0.13002098,0.29092848,0.4163717,-0.16828474
0.23770747,0.13702437,0.089528956,-0.17487377
0.34472978,0.18440297,0.31365842,-0.33428985
0.12763315,0.11901106,0.19962642,-0.12590314
0.2568913,0.2761201,-0.3853503,-0.34629393
0.1968074,0.18315552,0.5383949,-0.13845867
0.42628515,0.40255585,-0.16621977,-0.039909735
0.16630137,0.20583707,0.13851973,-0.025342278
0.12670487,0.31476212,0.14687099,-0.123421334
0.29248562,0.16050747,0.34223798,-0.14036593
0.1817455,0.22607937,0.35912278,-0.25239024
0.41212922,0.33093742,-0.14265358,-0.08844371
0.17553547,0.40057698,-0.2674601,-0.26307815
0.13350835,0.43872246,0.20672396,-0.22589159
0.2772158,0.3098902,-0.2528359,-0.12641437
0.21998304,0.26290184,-0.25317413,-0.14927852
0.19817805,0.18972212,-0.081418484,-0.08093025
0.33562064,0.4352383,-0.14219235,-0.1026481
0.0690249,0.19849916,0.12462369,-0.07695402
0.24190536,0.14023884,0.36314616,-0.1466468
0.16278327,0.2531051,0.5927592,-0.16449319
0.4080233,0.33453897,0.03931979,-0.05562912
0.27193576,0.20545572,0.6765595,-0.16969413
0.30434167,0.24093884,0.19739161,-0.024638578
0.4183917,0.38539073,-0.16639337,-0.03728859
0.24351256,0.3393984,0.7905977,-0.16897033
0.11864745,0.09385438,0.18438862,-0.08111104
0.42939085,0.28593528,0.8837026,-0.18860427
0.36445546,0.57904524,-0.2903898,-0.15762645
0.2814436,0.29532203,-0.41885847,-0.24489474
0.21604782,0.36039487,-0.39578065,-0.20998693
0.23483372,0.20877808,-0.22767681,-0.18051508
0.24287392,0.2167384,-0.17082793,-0.13200615
0.29053003,0.19894837,-0.041310787,-0.3133878
0.24259351,0.17995468,0.36623043,-0.2661702
0.2774772,0.34210345,0.43651658,-0.02504167
0.31360567,0.1460427,0.22686325,-0.18343967
0.23436725,0.1995401,0.42310348,-0.28024316
0.31749555,0.23687387,-0.27923477,-0.27077493
0.37528634,0.26043725,1.0537702,-0.39942616
0.090823464,0.10932005,0.06460174,-0.058420014
0.24908668,0.30010584,0.8026274,-0.26867104
0.23283261,0.12057386,0.17493886,-0.13125563
0.17478189,0.18613467,-0.08229556,-0.13932069
0.16561745,0.2548817,-0.12558919,-0.09323057
0.23194855,0.35830706,0.7561232,-0.15219319
0.28369594,0.26684463,-0.30079916,-0.19282418
0.2018504,0.3822779,-0.44997352,-0.32107583
0.15621462,0.14965172,0.4382867,-0.13453561
0.08049556,0.096630014,0.07577005,-0.04462664
0.19877218,0.18901768,0.1421803,-0.007147856
0.2936588,0.28172395,0.92158836,-0.3188047
0.1464695,0.1175519,0.33256745,-0.10975845
0.18374658,0.35891265,-0.3776831,-0.34793007
0.2340824,0.40869385,0.7548822,-0.12651129
0.20800102,0.31771827,-0.26553777,-0.115721874
0.11032546,0.2551617,0.36302432,-0.13091996
0.45936453,0.2185058,0.6766212,-0.2473273
0.163885,0.2530173,0.4692449,-0.23416883
0.2675043,0.19679594,0.25150856,-0.06565503
0.21200275,0.2982336,-0.10898802,-0.09227439
0.23901258,0.3068094,0.7931781,-0.25172576
0.40191,0.5410259,-0.11781337,-0.118519165
0.26349956,0.25705406,-0.38179967,-0.3310107
0.2618442,0.2909426,0.8362973,-0.34389913
0.24353221,0.2931428,0.8405266,-0.3351373
0.32364452,0.2027047,0.5414615,-0.29669908
0.30347735,0.2507177,0.9176952,-0.34581965
