psi,f
0.019184122793697377,9.952372050836838e-08
3.553089431240475e-13,-3.1267750152835774e-15
0.019183971435388095,4.85675583511146e-07
9.736623592312128e-12,-1.1230301157949617e-13
0.019183232257663902,2.10356627845725e-06
2.1268855570833628e-10,-3.1978631672691337e-12
0.019180004901553166,8.074327171203996e-06
3.7014456536578755e-09,-7.209955165488625e-11
0.019167410611516132,2.741110451560043e-05
5.12826388030918e-08,-1.2850122474878018e-09
0.01912351975150957,8.20780994500629e-05
5.650849146015081e-07,-1.80676239631647e-08
0.018987222151206077,0.00021594927421049828
4.945686915508407e-06,-1.9988391193727792e-07
0.018612120129862356,0.000496553792138957
3.4318991243943696e-05,-1.733944670978626e-06
0.017708288253950162,0.0009904001810648972
0.00018836314217888042,-1.1738673396945161e-05
0.01584862137348001,0.001696513009253828
0.0008151150572953322,-6.160307840047601e-05
0.012746101828505902,0.0024679258632199098
0.00276924237080254,-0.0002480792371315829
0.009061158561115966,0.0030310091345969975
0.007345371473301521,-0.0007542289405194497
0.007560089005370404,0.0032072621226074236
0.015103152986516202,-0.0016816080818531673
0.013327255575949264,0.0031641543459579938
0.0238503128565077,-0.0025869463108108464
0.031232159883594714,0.003142388286273438
0.028555521712792357,-0.0023001194172742375
0.06117541208610683,0.0025004992869972977
0.025333744676677504,-0.00010784944655698424
0.09542549692798086,-0.0005970103888999028
0.015663951177245197,0.002448911382935174
0.12174482965207302,-0.007221663711517052
0.005330077093008115,0.0025303481277403994
0.13017813637065825,-0.014993093032615618
0.0003359482569009563,5.00893746898015e-05
0.11838661472156572,-0.018907662879632813
0.004552393978663883,-0.0013174678966966877
0.09314268456604426,-0.01602164355093694
0.017471898382160712,0.0008445011424107144
0.067573069564085,-0.008286158410767885
0.032158550934264035,0.004191212673803114
0.054185392794728296,-9.109726062593278e-05
0.03890295028050207,0.0052577909713469664
0.057052951734414534,0.005536747544204771
0.0334473215604974,0.0037148345528231815
0.06938217585584401,0.007817980445831318
0.02080989931432963,0.001178317662437119
0.07918340770950881,0.007338246173435358
0.010193397226867107,-0.0012437512372609448
0.0783729383319235,0.005504573391419448
0.006447369466576362,-0.002850155156575311
0.0673804080473247,0.003878103468215017
0.007214343396038122,-0.00309454617443665
